dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
garments,2,42,0,1,0,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.8, 3.94, 2160.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,False,False,0,6.929,nn,0.6166666666666667,0.08133751768896696,0.2490020921778168
garments,2,42,0,1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.8, 2.9, 1800.0, 0.0, 0.0, 0.0, 0.0, 20.0]",2,False,False,0,32.346,nn,0.6166666666666667,0.07390116137217587,0.24528391401942123
garments,2,42,0,1,2,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.8, 2.9, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]",2,False,False,0,32.585,nn,0.6166666666666667,0.09483971356072807,0.25575319011369735
garments,2,42,0,1,3,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.8, 3.94, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,False,False,0,9.064,nn,0.6166666666666667,0.08828196213341141,0.25247431440003903
garments,2,42,0,1,4,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.8, 3.94, 1440.0, 0.0, 0.0, 0.0, 0.0, 20.0]",2,False,False,0,7.091,nn,0.6166666666666667,0.07355132240277168,0.24510899453471915
garments,2,42,0,2,0,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.8, 2.9, 1440.0, 0.0, 0.0, 0.0, 0.0, 2.0]",2,False,False,0,33.486,nn,0.6166666666666667,0.10736115990826135,0.262013913287464
garments,2,42,0,2,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.8, 2.9, 1560.0, 0.0, 0.0, 0.0, 0.0, 19.0]",2,False,False,0,33.407,nn,0.6166666666666667,0.09266559312936125,0.25466612989801396
garments,2,42,0,2,2,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.8, 2.9, 0.0, 0.0, 0.0, 0.0, 0.0, 19.0]",2,False,False,0,7.174,nn,0.6166666666666667,0.09768102522812667,0.2571738459473967
garments,2,42,0,2,3,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.8, 3.94, 1200.0, 0.0, 0.0, 0.0, 0.0, 2.0]",2,False,False,0,8.709,nn,0.6166666666666667,0.10662551846972135,0.261646092568194
garments,2,42,0,2,4,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.8, 12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]",2,False,False,0,33.304,nn,0.6166666666666667,0.09880238374078953,0.2577345252037281
