dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
compas,0,42,1,0,0,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[52.793693439365875, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,False,16,105.996,0.8175,rf,0.03511426029190961,0.06755713014595481
compas,0,42,1,0,1,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[54.3341705425383, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,False,16,106.701,0.8175,rf,0.036992890905534516,0.06849644545276726
compas,0,42,1,0,2,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[53.37947518719102, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,False,16,107.222,0.8175,rf,0.03582862827706222,0.0679143141385311
compas,0,42,1,0,3,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[58.49661203465497, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,False,16,107.896,0.8175,rf,0.04206903906665241,0.07103451953332621
compas,0,42,1,0,4,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[55.30217862636696, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,False,16,105.104,0.8175,rf,0.038173388568740196,0.0690866942843701
compas,0,42,1,8,0,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[61.860995438068805, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 6.0]",0,True,False,16,98.78,0.8175,rf,0.053952433461059525,0.12697621673052978
compas,0,42,1,8,1,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[61.94070817649605, 1.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 6.0]",0,True,False,16,98.384,0.8175,rf,0.05404964411767811,0.12702482205883905
compas,0,42,1,8,2,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[57.638092999613455, 1.0, 2.0, 0.9791922973710232, 1.0, 1.0, 1.0, 1.0, 1.0, 6.0]",0,True,False,16,98.383,0.8175,rf,0.04782336014118197,0.12391168007059099
compas,0,42,1,8,3,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[59.8517148336141, 1.0, 2.0, 3.2959182574873873, 1.0, 1.0, 1.0, 1.0, 1.0, 6.0]",0,True,False,16,97.571,0.8175,rf,0.04820617300301762,0.12410308650150881
compas,0,42,1,8,4,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[60.3911270161558, 1.0, 2.0, 2.463816629980692, 1.0, 1.0, 1.0, 1.0, 1.0, 6.0]",0,True,False,16,97.705,0.8175,rf,0.04969609436533126,0.12484804718266564
