dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc
adult,1,42,4,0,0,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 16.0, 0.0, 8.0, 0.0, 4.0, 0.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.594,nn,0.8218085106382979
adult,1,42,4,0,1,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 16.0, 0.0, 8.0, 0.0, 4.0, 0.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.706,nn,0.8218085106382979
adult,1,42,4,0,2,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 15.500063474842506, 0.0, 8.0, 0.0, 4.0, 0.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.675,nn,0.8218085106382979
adult,1,42,4,0,3,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 15.528056346293491, 0.0, 8.0, 0.0, 4.0, 0.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.693,nn,0.8218085106382979
adult,1,42,4,0,4,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 16.0, 0.0, 8.0, 0.0, 4.0, 0.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.62,nn,0.8218085106382979
adult,1,42,4,4,0,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[18.005496940359023, 2.0, 16.0, 4.0, 10.0, 0.0, 4.0, 1.0, 0.0, 0.0, 12.0, 30.0]",1,True,True,16,14.348,nn,0.8218085106382979
adult,1,42,4,4,1,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[25.256167790725904, 2.0, 15.531370242374015, 4.0, 10.0, 0.0, 4.0, 1.0, 0.0, 0.0, 12.0, 30.0]",1,True,True,16,14.407,nn,0.8218085106382979
adult,1,42,4,4,2,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.358855873470148, 2.0, 16.0, 4.0, 10.0, 0.0, 4.0, 1.0, 0.0, 0.0, 12.0, 30.0]",1,True,True,16,14.357,nn,0.8218085106382979
adult,1,42,4,4,3,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[19.009445043042277, 2.0, 16.0, 4.0, 10.0, 0.0, 4.0, 1.0, 0.0, 0.0, 12.0, 30.0]",1,True,True,16,14.353,nn,0.8218085106382979
adult,1,42,4,4,4,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.0, 2.0, 16.0, 4.0, 10.0, 0.0, 4.0, 1.0, 0.0, 0.0, 12.0, 30.0]",1,True,True,16,14.375,nn,0.8218085106382979
adult,1,42,4,5,0,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[28.234696343503735, 2.0, 15.542261968333513, 4.0, 4.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.254,nn,0.8218085106382979
adult,1,42,4,5,1,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[25.76837081768131, 2.0, 15.697245272828376, 4.0, 4.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.279,nn,0.8218085106382979
adult,1,42,4,5,2,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[24.316459544984372, 2.0, 15.198021349208966, 4.0, 4.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.218,nn,0.8218085106382979
adult,1,42,4,5,3,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[22.527376920269916, 2.0, 15.089794180764274, 4.0, 4.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.264,nn,0.8218085106382979
adult,1,42,4,5,4,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[24.573273658584313, 2.0, 16.0, 4.0, 4.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.536,nn,0.8218085106382979
adult,1,42,4,6,0,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31.0, 2.0, 15.498873944050914, 0.0, 1.0, 0.0, 4.0, 1.0, 0.0, 0.0, 55.0, 30.0]",1,True,True,16,14.508,nn,0.8218085106382979
adult,1,42,4,6,1,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31.0, 2.0, 14.350798669312285, 0.0, 1.0, 0.0, 4.0, 1.0, 0.0, 0.0, 55.0, 30.0]",1,True,True,16,14.606,nn,0.8218085106382979
adult,1,42,4,6,2,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31.0, 2.0, 15.595167060296953, 0.0, 1.0, 0.0, 4.0, 1.0, 0.0, 0.0, 55.0, 30.0]",1,True,True,16,14.54,nn,0.8218085106382979
adult,1,42,4,6,3,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31.0, 2.0, 14.833946847948068, 0.0, 1.0, 0.0, 4.0, 1.0, 0.0, 0.0, 55.0, 30.0]",1,True,True,16,14.53,nn,0.8218085106382979
adult,1,42,4,6,4,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31.0, 2.0, 15.5181176675914, 0.0, 1.0, 0.0, 4.0, 1.0, 0.0, 0.0, 55.0, 30.0]",1,True,True,16,14.567,nn,0.8218085106382979
adult,1,42,4,12,0,"[30, 2, 9, 2, 1, 0, 4, 1, 0, 0, 40, 30]",0,0,"[30.0, 2.0, 16.0, 2.0, 1.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.757,nn,0.8218085106382979
adult,1,42,4,12,1,"[30, 2, 9, 2, 1, 0, 4, 1, 0, 0, 40, 30]",0,0,"[90.0, 2.0, 16.0, 2.0, 1.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.754,nn,0.8218085106382979
adult,1,42,4,12,2,"[30, 2, 9, 2, 1, 0, 4, 1, 0, 0, 40, 30]",0,0,"[30.0, 2.0, 16.0, 2.0, 1.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.724,nn,0.8218085106382979
adult,1,42,4,12,3,"[30, 2, 9, 2, 1, 0, 4, 1, 0, 0, 40, 30]",0,0,"[90.0, 2.0, 16.0, 2.0, 1.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.721,nn,0.8218085106382979
adult,1,42,4,12,4,"[30, 2, 9, 2, 1, 0, 4, 1, 0, 0, 40, 30]",0,0,"[30.0, 2.0, 16.0, 2.0, 1.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.698,nn,0.8218085106382979
adult,1,42,4,15,0,"[40, 2, 6, 0, 1, 1, 0, 1, 0, 0, 40, 30]",0,0,"[40.0, 2.0, 16.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.592,nn,0.8218085106382979
adult,1,42,4,15,1,"[40, 2, 6, 0, 1, 1, 0, 1, 0, 0, 40, 30]",0,0,"[40.0, 2.0, 16.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.488,nn,0.8218085106382979
adult,1,42,4,15,2,"[40, 2, 6, 0, 1, 1, 0, 1, 0, 0, 40, 30]",0,0,"[40.0, 2.0, 15.939660304719624, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.511,nn,0.8218085106382979
adult,1,42,4,15,3,"[40, 2, 6, 0, 1, 1, 0, 1, 0, 0, 40, 30]",0,0,"[40.0, 2.0, 16.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.504,nn,0.8218085106382979
adult,1,42,4,15,4,"[40, 2, 6, 0, 1, 1, 0, 1, 0, 0, 40, 30]",0,0,"[40.0, 2.0, 16.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,True,16,14.523,nn,0.8218085106382979
