dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,run_time,blackbox_test_acc,opt_C_robust,opt_K_robust
boston,0,42,0,0,0,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 23.08, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,False,1909.232,0.931372549019608,False,0
boston,0,42,0,0,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.518312, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,False,2059.064,0.931372549019608,False,0
boston,0,42,0,0,2,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.52249, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,False,1947.288,0.931372549019608,False,0
boston,0,42,0,1,0,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 22.870791, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, -11.754000000000001]",1,False,1925.447,0.931372549019608,False,0
boston,0,42,0,1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 23.070571, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,False,1842.589,0.931372549019608,False,0
boston,0,42,0,1,2,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 22.908576, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,False,1803.318,0.931372549019608,False,0
boston,0,42,0,24,0,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 6.502638, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,False,1839.395,0.931372549019608,False,0
boston,0,42,0,24,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 6.54, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,False,1883.569,0.931372549019608,False,0
boston,0,42,0,24,2,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 6.539309, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,False,1497.391,0.931372549019608,False,0
boston,0,42,0,34,0,"[1.22358, 0.0, 19.58, 0.0, 0.605, 6.943, 97.4, 1.8773, 5.0, 403.0, 14.7, 363.43, 4.59]",1,1,"[1.22358, 0.0, 19.58, 0.0, 0.605, 6.531124, 97.4, 1.8773, 5.0, 403.0, 14.7, 363.43, 4.59]",0,False,1910.061,0.931372549019608,False,0
boston,0,42,0,34,1,"[1.22358, 0.0, 19.58, 0.0, 0.605, 6.943, 97.4, 1.8773, 5.0, 403.0, 14.7, 363.43, 4.59]",1,1,"[1.22358, 0.0, 19.58, 0.0, 0.605, 6.59, 97.4, 1.8773, 5.0, 403.0, 14.7, 363.43, 4.59]",0,False,1852.427,0.931372549019608,False,0
boston,0,42,0,34,2,"[1.22358, 0.0, 19.58, 0.0, 0.605, 6.943, 97.4, 1.8773, 5.0, 403.0, 14.7, 363.43, 4.59]",1,1,"[1.22358, 0.0, 19.58, 0.0, 0.605, 6.533434, 97.4, 1.8773, 5.0, 403.0, 14.7, 363.43, 9.5]",0,False,1852.6,0.931372549019608,False,0
boston,0,42,0,36,0,"[1.83377, 0.0, 19.58, 1.0, 0.605, 7.802, 98.2, 2.0407, 5.0, 403.0, 14.7, 389.61, 1.92]",1,1,"[1.83377, 0.0, 19.58, 1.0, 0.605, 6.493926, 98.2, 2.0407, 5.0, 403.0, 14.7, 389.61, 1.92]",0,False,1902.314,0.931372549019608,False,0
boston,0,42,0,36,1,"[1.83377, 0.0, 19.58, 1.0, 0.605, 7.802, 98.2, 2.0407, 5.0, 403.0, 14.7, 389.61, 1.92]",1,1,"[1.83377, 0.0, 19.58, 1.0, 0.605, 6.476749, 98.2, 2.0407, 5.0, 403.0, 14.7, 389.61, 1.92]",0,False,1912.063,0.931372549019608,False,0
boston,0,42,0,36,2,"[1.83377, 0.0, 19.58, 1.0, 0.605, 7.802, 98.2, 2.0407, 5.0, 403.0, 14.7, 389.61, 1.92]",1,1,"[1.83377, 0.0, 19.58, 1.0, 0.605, 6.405, 98.2, 2.0407, 5.0, 403.0, 14.7, 389.61, 1.92]",0,False,1843.603,0.931372549019608,False,0
