dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,run_time,blackbox_test_acc,opt_C_robust,opt_K_robust
adult,1,42,0,1,0,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46, 2, 10, 0, 10, 1, 4, 0, 6168, 0, 40, 30]",0,False,2195.104,0.8647214854111406,False,0
adult,1,42,0,1,1,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46, 2, 10, 0, 10, 1, 4, 0, 3507, 0, 26, 30]",0,False,2167.256,0.8647214854111406,False,0
adult,1,42,0,1,2,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46, 2, 10, 0, 10, 1, 4, 0, 1785, 0, 40, 30]",0,False,2194.667,0.8647214854111406,False,0
adult,1,42,0,4,0,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[26, 2, 9, 0, 1, 1, 4, 1, 7314, 0, 55, 30]",0,False,2141.488,0.8647214854111406,False,0
adult,1,42,0,4,1,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[26, 2, 9, 0, 1, 1, 4, 1, 3246, 0, 55, 30]",0,False,2161.654,0.8647214854111406,False,0
adult,1,42,0,4,2,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[22, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,False,2164.914,0.8647214854111406,False,0
adult,1,42,0,5,0,"[23, 1, 10, 5, 2, 4, 2, 1, 0, 0, 40, 30]",0,0,"[18, 1, 10, 5, 2, 4, 2, 1, 3314, 0, 40, 30]",0,False,1657.445,0.8647214854111406,False,0
adult,1,42,0,5,1,"[23, 1, 10, 5, 2, 4, 2, 1, 0, 0, 40, 30]",0,0,"[16, 1, 10, 5, 2, 4, 2, 1, 3553, 0, 40, 30]",0,False,984.456,0.8647214854111406,False,0
adult,1,42,0,5,2,"[23, 1, 10, 5, 2, 4, 2, 1, 0, 0, 40, 30]",0,0,"[13, 1, 10, 5, 2, 4, 2, 1, 4047, 0, 40, 30]",0,False,1004.621,0.8647214854111406,False,0
adult,1,42,0,6,0,"[42, 2, 10, 0, 0, 1, 2, 0, 0, 0, 38, 30]",0,0,"[42, 2, 10, 0, 0, 1, 2, 0, 5876, 0, 38, 30]",0,False,1794.804,0.8647214854111406,False,0
adult,1,42,0,6,1,"[42, 2, 10, 0, 0, 1, 2, 0, 0, 0, 38, 30]",0,0,"[42, 2, 10, 0, 0, 1, 2, 0, 1969, 0, 38, 30]",0,False,1808.51,0.8647214854111406,False,0
adult,1,42,0,6,2,"[42, 2, 10, 0, 0, 1, 2, 0, 0, 0, 38, 30]",0,0,"[42, 2, 10, 0, 0, 1, 2, 0, 5488, 0, 38, 30]",0,False,1767.133,0.8647214854111406,False,0
adult,1,42,0,11,0,"[38, 1, 10, 4, 6, 1, 4, 1, 0, 0, 12, 30]",0,0,"[38, 1, 10, 4, 6, 1, 4, 1, 2084, 0, 13, 30]",0,False,2215.241,0.8647214854111406,False,0
adult,1,42,0,11,1,"[38, 1, 10, 4, 6, 1, 4, 1, 0, 0, 12, 30]",0,0,"[38, 1, 10, 4, 6, 1, 4, 1, 3991, 0, 3, 30]",0,False,2090.756,0.8647214854111406,False,0
adult,1,42,0,11,2,"[38, 1, 10, 4, 6, 1, 4, 1, 0, 0, 12, 30]",0,0,"[38, 1, 10, 4, 6, 1, 4, 1, 5316, 0, 12, 30]",0,False,2187.73,0.8647214854111406,False,0
