dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc
boston,0,42,3,0,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.421535389786524, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,True,True,0,0.815,nn,0.9108910891089109
boston,0,42,3,0,1,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.412660585325054, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,True,True,0,0.81,nn,0.9108910891089109
boston,0,42,3,0,2,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.41917695282115, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,True,True,0,0.813,nn,0.9108910891089109
boston,0,42,3,0,3,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.413097918966585, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,True,True,0,0.814,nn,0.9108910891089109
boston,0,42,3,0,4,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.404093690064526, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,True,True,0,0.812,nn,0.9108910891089109
boston,0,42,3,8,0,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 6.331709849723391, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,True,True,0,0.815,nn,0.9108910891089109
boston,0,42,3,8,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 6.299870408819242, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,True,True,0,0.819,nn,0.9108910891089109
boston,0,42,3,8,2,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 6.335111963492172, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,True,True,0,0.818,nn,0.9108910891089109
boston,0,42,3,8,3,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 6.310430343147366, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,True,True,0,0.822,nn,0.9108910891089109
boston,0,42,3,8,4,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 6.335795494788209, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,True,True,0,0.821,nn,0.9108910891089109
