dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
credit,1,42,4,4,0,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[2.0, 18.0, 2.0, 6.0, 1239.0, 5.0, 3.5147255449717414, 4.0, 2.0, 0.0, 4.0, 4.0, 61.0, 2.0, 3.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,9.739,0.755,rf,0.006434069312146767,0.028217034656073385
credit,1,42,4,4,1,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[2.0, 18.0, 2.0, 6.0, 1239.0, 5.0, 3.5178394273936306, 4.0, 2.0, 0.0, 4.0, 4.0, 61.0, 2.0, 3.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,9.794,0.755,rf,0.006472992842420384,0.02823649642121019
credit,1,42,4,4,2,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[2.0, 18.0, 2.0, 6.0, 1239.0, 5.0, 3.501593626572334, 4.0, 2.0, 0.0, 4.0, 4.0, 61.0, 2.0, 3.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,9.754,0.755,rf,0.006269920332154177,0.02813496016607709
credit,1,42,4,4,3,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[2.0, 18.0, 2.0, 6.0, 1239.0, 5.0, 3.5025172806209506, 4.0, 2.0, 0.0, 4.0, 4.0, 61.0, 2.0, 3.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,9.801,0.755,rf,0.006281466007761883,0.028140733003880942
credit,1,42,4,4,4,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[2.0, 18.0, 2.0, 6.0, 1239.0, 5.0, 3.5045745327663718, 4.0, 2.0, 0.0, 4.0, 4.0, 61.0, 2.0, 3.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,9.793,0.755,rf,0.006307181659579647,0.028153590829789826
credit,1,42,4,12,0,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 21.0, 4.0, 0.0, 1602.0, 1.0, 5.0, 4.0, 3.0, 0.0, 3.0, 3.0, 34.30136528360463, 2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,True,True,0,10.424,0.755,rf,0.003773127441758449,0.026886563720879227
credit,1,42,4,12,1,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 21.0, 4.0, 0.0, 1602.0, 1.0, 5.0, 4.0, 3.0, 0.0, 3.0, 3.0, 35.656915936104994, 2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,True,True,0,10.453,0.755,rf,0.004962206961495609,0.027481103480747806
credit,1,42,4,12,2,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 21.0, 4.0, 0.0, 1602.0, 1.0, 5.0, 4.0, 3.0, 0.0, 3.0, 3.0, 34.538087949645806, 2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,True,True,0,10.451,0.755,rf,0.003980778903198076,0.02699038945159904
credit,1,42,4,12,3,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 21.0, 4.0, 0.0, 1602.0, 1.0, 5.0, 4.0, 3.0, 0.0, 3.0, 3.0, 35.893553187477835, 2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,True,True,0,10.451,0.755,rf,0.005169783497787575,0.027584891748893788
credit,1,42,4,12,4,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 21.0, 4.0, 0.0, 1602.0, 1.0, 5.0, 4.0, 3.0, 0.0, 3.0, 3.0, 35.1360615651558, 2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,True,True,0,10.425,0.755,rf,0.004505317162417369,0.027252658581208684
