dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
adult,1,42,0,1,0,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46.0, 2.0, 10.0, 0.0, 10.0, 1.0, 4.0, 0.0, 9918.997817298407, 0.0, 40.0, 30.0]",1,False,False,0,1.053,nn,0.8275862068965517,0.008265914173557074,0.0457996237534452
adult,1,42,0,1,1,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46.0, 2.0, 10.0, 0.0, 10.0, 1.0, 4.0, 0.0, 9862.292838472997, 0.0, 40.0, 30.0]",1,False,False,0,1.04,nn,0.8275862068965517,0.008218659551989683,0.045775996442661504
adult,1,42,0,1,2,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46.0, 2.0, 10.0, 0.0, 10.0, 1.0, 4.0, 0.0, 9891.912681619393, 0.0, 40.0, 30.0]",1,False,False,0,1.037,nn,0.8275862068965517,0.008243343001446175,0.04578833816738975
adult,1,42,0,1,3,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46.0, 2.0, 10.0, 0.0, 10.0, 1.0, 4.0, 0.0, 9867.722574033327, 0.0, 40.0, 30.0]",1,False,False,0,1.018,nn,0.8275862068965517,0.00822318437687154,0.045778258855102436
adult,1,42,0,1,4,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46.0, 2.0, 10.0, 0.0, 10.0, 1.0, 4.0, 0.0, 9850.657403748457, 0.0, 40.0, 30.0]",1,False,False,0,1.029,nn,0.8275862068965517,0.008208963259422974,0.04577114829637815
adult,1,42,0,4,0,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[26.0, 2.0, 9.0, 0.0, 1.0, 1.0, 4.0, 1.0, 16923.08108200876, 0.0, 55.0, 30.0]",1,False,False,0,1.245,nn,0.8275862068965517,0.014102708595426589,0.04871802096437996
adult,1,42,0,4,1,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[26.0, 2.0, 9.0, 0.0, 1.0, 1.0, 4.0, 1.0, 16924.168705950324, 0.0, 55.0, 30.0]",1,False,False,0,1.032,nn,0.8275862068965517,0.014103614957774848,0.04871847414555409
adult,1,42,0,4,2,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[26.0, 2.0, 9.0, 0.0, 1.0, 1.0, 4.0, 1.0, 16971.39292374168, 0.0, 55.0, 30.0]",1,False,False,0,1.118,nn,0.8275862068965517,0.014142968866140063,0.0487381510997367
adult,1,42,0,4,3,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[26.0, 2.0, 9.0, 0.0, 1.0, 1.0, 4.0, 1.0, 16954.034650403653, 0.0, 55.0, 30.0]",1,False,False,0,1.003,nn,0.8275862068965517,0.014128503493704647,0.04873091841351899
adult,1,42,0,4,4,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[26.0, 2.0, 9.0, 0.0, 1.0, 1.0, 4.0, 1.0, 16947.420882706174, 0.0, 55.0, 30.0]",1,False,False,0,1.002,nn,0.8275862068965517,0.014122991965508133,0.04872816264942073
adult,1,42,0,5,0,"[23, 1, 10, 5, 2, 4, 2, 1, 0, 0, 40, 30]",0,0,"[23.0, 1.0, 10.0, 5.0, 2.0, 4.0, 2.0, 1.0, 21696.937092464163, 0.0, 40.0, 30.0]",1,False,False,0,1.044,nn,0.8275862068965517,0.018080961720004,0.05070714752666866
